param b : 1 2 3:=
		6 1 0 1
		7 0 1 0;

param C :=
		1 9
		2 13
		3 9;
		
param DistMatr :  1 2 3 4 5 6 7 8:=
				1 0 6 5 5 7 4 7 4
				2 6 0 3 4 2 3 4	4
				3 5 3 0 2 3 2 3	3
				4 5 4 2 0 4 3 3	3
				5 7 2 3 4 0 2 3	3
				6 4 3 2 3 2 0 2	2
				7 7 4 3 3 3 2 0 2
 				8 4 4 3 3 3 2 2 0;


param TimeMatr :  1  2  3   4   5   6  7  8:=
                1 0  14 13  12  18  13 20 14
                2 14 0  10  13  10  13 17 13
                3 13 10  0  9   14  9  14 12
                4 12 13  9  0   17  12 13 12
                5 18 10 14  17  0   10 13 11
                6 13 13  9  12  10  0  9  9
                7 20 17 14  13  13  9  0  9
                8 14 13 12  12  11  9  9  0;


param FeStMatr :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 :=
	            1 0 1 1 0 0 1 1 0 0  0  0  1  0  0  0  0  1  0  1  0  1  1
	            2 1 0 0 1 0 0 0 0 0  1  1  1  1  1  1  0  1  0  0  1  0  1
	            3 1 0 1 1 1 1 1 1 1  0  0  0  0  0  0  0  0  1  1  0  1  0
	            4 0 1 1 0 1 1 1 1 1  1  1  0  1  1  1  1  0  0  0  0  1  1
				5 0 1 1 0 0 0 0 0 0  0  0  1  0  0  0  1  1  0  0  1  1  0; 

param t = 10;
param minS = 3;
